id,date,user,pc,url
{U7X8-I5PP72TG-3773ZBQU},01/04/2010 09:03:57,DTAA/CGM0319,PC-3173,"http://apple.mother-between.net"
{O1L6-U4GY87BF-2466VJOL},01/04/2010 09:01:05,DTAA/AMM0661,PC-1628,"http://google.com"
{L6U5-J8UI71LN-9348VKUE},01/04/2010 08:58:36,DTAA/AEC0750,PC-2926,"http://google.com"
{S9O3-O0LV65RO-3024CVDO},01/04/2010 08:52:53,DTAA/RER0237,PC-1175,"http://stumbleupon.com"
{T9F3-X3BD63FM-9227UCDE},01/04/2010 08:46:59,DTAA/ICF0629,PC-3067,"http://craigslist.org"
{V8F5-V1YW04ID-3094EHZZ},01/04/2010 07:59:54,DTAA/BML0618,PC-0659,"http://go.com"
{L3J0-E4RF05KN-7341OQVW},01/04/2010 07:55:50,DTAA/CMU0028,PC-4253,"http://taxpotato.east.org"
{O9P7-D9DL54YQ-9903OMYE},01/04/2010 07:52:25,DTAA/SVC0175,PC-3384,"http://bent.cup.org"
{V7C8-H6KA39YG-3352HMOW},01/04/2010 07:40:40,DTAA/HBF0035,PC-0991,"http://tendencystem.org"
{V0E1-R0FE91SC-2381GTDZ},01/04/2010 07:35:19,DTAA/DBM0698,PC-1444,"http://force.open.com"
