id,date,user,pc,activy
{F1R1-X7YN85BC-8600ECPO},01/04/2010 03:26:35,DTAA/DSM0990,PC-4163,Logon
{G7D5-B7WV64MR-6297WXDI},01/04/2010 03:20:19,DTAA/CRC0996,PC-0433,Logoff
{O2G3-A8OY77SX-9144BEBN},01/04/2010 03:16:08,DTAA/CLN0999,PC-3570,Logon
{N6X2-M3JP49QF-8200OJGG},01/04/2010 03:06:53,DTAA/IRC0991,PC-2564,Logoff
{W1E9-N6CT54SQ-5435KQVJ},01/04/2010 03:04:45,DTAA/IRC0991,PC-2564,Logon
{G9P8-T9SO54NE-8925CJHZ},01/04/2010 02:39:10,DTAA/CRC0996,PC-0433,Logon
{E4A8-D0KY75XA-8249HKXK},01/04/2010 02:30:13,DTAA/BJM0992,PC-0585,Logoff
{B1F6-Q3QQ10DK-0433PXKN},01/04/2010 02:25:16,DTAA/BJM0992,PC-0585,Logon
{D0H4-Z7QP58CK-8444FHEU},01/04/2010 02:16:17,DTAA/BJM0992,PC-3058,Logoff
{Z5C8-S3XM85HP-3642TRNY},01/04/2010 02:03:34,DTAA/CLB0995,PC-1127,Logoff
{H1E4-U0IU16JR-6471SEGS},01/04/2010 02:01:26,DTAA/CLB0995,PC-1127,Logon
{H3H4-S5AZ00AZ-9560IYHC},01/04/2010 01:57:30,DTAA/BJM0992,PC-3058,Logon
{H9W1-X0MC70BT-6065RPAT},01/04/2010 01:28:34,DTAA/KEE0997,PC-3363,Logoff
{D2D1-C6EB14QJ-2100RSZO},01/04/2010 01:17:20,DTAA/KEE0997,PC-3363,Logon
{O5Y6-O7CJ02JC-6704RWBS},01/04/2010 00:52:16,DTAA/KEE0997,PC-1914,Logoff
{Y6O4-A7KC67IN-0899AOZK},01/04/2010 00:10:37,DTAA/KEE0997,PC-1914,Logon
